,0,1,FID,PAC,NAME,省,DEM,GDP,NDVI,POP,RIVER,ROAD,count
0,0.23705852,0.76294148,2639,620982,敦煌市,甘肃省,0.251205179,1.65417E-05,0.00167257,0.00020004,0.143108564,0.00030348,72
1,0.179095984,0.820904016,2897,810000,香港特别行政区,香港特别行政区,0.026928889,0.154448463,0.823530084,0.240047723,0.142857143,0.254019372,40
2,0.344930172,0.655069828,417,152921,阿拉善左旗,内蒙古自治区,0.253105836,1.7105E-05,0.093458124,6.94012E-05,0.145124294,0.000234717,38
3,0.496955037,0.503044963,2744,640502,沙坡头区,宁夏回族自治区,0.314543305,0.000189746,0.341026106,0.002156022,0.164835009,0.00080314,35
4,0.112585187,0.887414813,860,330523,安吉县,浙江省,0.044837781,0.001374223,0.901479094,0.007570286,0.142857143,0.003260514,26
5,0.032244742,0.967755258,1208,370211,黄岛区,山东省,0.011582461,0.010065241,0.767578007,0.022683306,0.163890708,0.006754293,24
6,0.060233891,0.939766109,821,330110,余杭区,浙江省,0.014419787,0.011993296,0.767684835,0.042195913,0.142857143,0.031962284,22
7,0.095056593,0.904943407,2,110105,朝阳区,北京市,0.022131238,0.062482946,0.613871533,0.160557081,0.157142857,0.053151541,18
8,0.095056593,0.904943407,523,220104,朝阳区,吉林省,0.022131238,0.062482946,0.613871533,0.160557081,0.157142857,0.053151541,18
9,0.537842095,0.462157905,573,222401,延吉市,吉林省,0.102030309,6.43547E-05,0.966140479,0.008651677,0.152709285,0.003614432,18
10,0.049912691,0.950087309,822,330111,富阳区,浙江省,0.03761967,0.002601026,0.896650442,0.012015672,0.204969286,0.00561834,18
11,0.099231839,0.900768161,1739,440307,龙岗区,广东省,0.022237996,0.043026367,0.704899073,0.113884563,0.173230002,0.041402102,18
12,0.342653155,0.657346845,1823,441900,东莞市,广东省,0.00770723,0.021768155,0.487945852,0.099378163,0.3125657,0.025584757,17
13,0.243028522,0.756971478,717,310151,崇明区,上海市,0.000658867,0.001946428,0.50741484,0.017722394,0.216496429,0.023179715,15
14,0.181012332,0.818987668,858,330521,德清县,浙江省,0.01494986,0.00324615,0.73758219,0.016070189,0.142857143,0.007738437,15
15,0.019896924,0.980103076,1198,370112,历城区,山东省,0.045403363,0.009645866,0.763971443,0.02941306,0.202156438,0.013980505,15
16,0.088281214,0.911718786,1790,441322,博罗县,广东省,0.027649398,0.001160644,0.866806121,0.01105532,0.191428571,0.003367676,15
17,0.33667022,0.66332978,1791,441323,惠东县,广东省,0.041695526,0.001080004,0.911332133,0.008233109,0.146665715,0.002479816,15
18,0.103226244,0.896773756,7,110111,房山区,北京市,0.07780489,0.002330784,0.835734594,0.018343934,0.142857143,0.014802682,14
19,0.081764817,0.918235183,12,110116,怀柔区,北京市,0.105780069,0.001023103,0.931037333,0.005758291,0.152597133,0.006219898,14
20,0.288115978,0.711884022,2027,510181,都江堰市,四川省,0.258585984,0.001869707,0.87724616,0.015940561,0.272727138,0.008468917,14
21,0.129319668,0.870680332,2149,513222,理县,四川省,0.712660085,3.55017E-05,0.787417767,0.000314811,0.149825723,0.000532173,14
22,0.197972536,0.802027464,10,110114,昌平区,北京市,0.057721925,0.005340718,0.806925707,0.045348038,0.162561428,0.02217225,13
23,0.068404138,0.931595862,1721,440114,花都区,广东省,0.0128781,0.008631114,0.711130433,0.03338508,0.142857143,0.024031916,12
24,0.121123493,0.878876507,1755,440605,南海区,广东省,0.001624287,0.016755786,0.419196097,0.07836594,0.362637155,0.03796615,12
25,0.036961555,0.963038445,2021,510116,双流区,四川省,0.09693775,0.009548517,0.69203223,0.046177398,0.142857143,0.026024637,12
26,0.329027772,0.670972228,2679,623027,夏河县,甘肃省,0.664622137,2.01945E-05,0.916701075,0.000433487,0.148594295,0.000469023,12
27,0.050538003,0.949461997,8,110112,通州区,北京市,0.002286114,0.006280589,0.696791573,0.034437015,0.186812853,0.014849013,11
28,0.09677434,0.90322566,9,110113,顺义区,北京市,0.008671101,0.010739071,0.699149796,0.036552958,0.142857143,0.01338964,11
29,0.081093907,0.918906093,715,310118,青浦区,上海市,0.000807606,0.010716658,0.656243597,0.052719548,0.273809291,0.07128406,11
30,0.050538003,0.949461997,763,320612,通州区,江苏省,0.002286114,0.006280589,0.696791573,0.034437015,0.186812853,0.014849013,11
31,0.197277427,0.802722573,823,330112,临安区,浙江省,0.081588936,0.001046835,0.950599405,0.005594243,0.142857143,0.004485389,11
32,0.165332735,0.834667265,1499,420115,江夏区,湖北省,0.006043534,0.003081237,0.708234056,0.016192589,0.250463562,0.006684064,11
33,0.446628094,0.553371906,1821,441881,英德市,广东省,0.044794943,0.000324752,0.928644748,0.005057394,0.154228581,0.001913542,11
34,0.292058468,0.707941532,15,110119,延庆区,北京市,0.144381827,0.000526829,0.918964166,0.005034578,0.171428571,0.005118782,10
35,0.416958392,0.583041608,345,150425,克什克腾旗,内蒙古自治区,0.260714352,3.64599E-05,0.727777187,0.000306839,0.143882141,0.000239593,10
36,0.062348127,0.937651873,725,320115,江宁区,江苏省,0.006072073,0.011406653,0.723077864,0.030606615,0.188208575,0.013140848,10
37,0.070411861,0.929588139,820,330109,萧山区,浙江省,0.010403797,0.010587503,0.588823408,0.042358734,0.210677141,0.021280564,10
38,0.178896248,0.821103752,825,330127,淳安县,浙江省,0.070447194,0.000328469,0.963190706,0.002422505,0.195442854,0.002516339,10
39,0.143338978,0.856661022,841,330324,永嘉县,浙江省,0.08176371,0.001026023,0.95365869,0.009469375,0.195334996,0.003160672,10
40,0.081971943,0.918028057,1500,420116,黄陂区,湖北省,0.013170399,0.002925648,0.795928113,0.014348287,0.152709285,0.005503075,10
41,0.202567875,0.797432125,1723,440117,从化区,广东省,0.04708907,0.001051261,0.925113502,0.010411171,0.159663566,0.007739589,10
42,0.057143986,0.942856014,1824,442000,中山市,广东省,0.004392924,0.010732534,0.491015509,0.059582575,0.289091448,0.031196455,10
43,0.321656346,0.678343654,1954,460203,吉阳区,海南省,0.023336409,0.00396479,0.894945045,0.026542284,0.184909276,0.018942932,10
44,0.142462611,0.857537389,1962,469006,万宁市,海南省,0.024848553,0.000708553,0.941620074,0.009057719,0.164026424,0.002417443,10
45,0.049979806,0.950020194,1986,500113,巴南区,重庆市,0.08581926,0.003173738,0.870041225,0.019944588,0.177489275,0.006533962,10
46,0.065487742,0.934512258,2017,510112,龙泉驿区,四川省,0.107934584,0.014357399,0.738348443,0.054281632,0.142857143,0.018678367,10
47,0.147320569,0.852679431,2224,520403,平坝区,贵州省,0.25508515,0.000788919,0.840799459,0.009671816,0.184874289,0.002732679,10
48,0.121892154,0.878107846,2388,532901,大理市,云南省,0.449583473,0.001433641,0.825815926,0.01360208,0.165178571,0.013331071,10
49,0.082423747,0.917576253,714,310117,松江区,上海市,0.00081846,0.014995891,0.705253622,0.082478958,0.20779214,0.049566496,9
50,0.013458252,0.986541748,831,330212,鄞州区,浙江省,0.015495179,0.015974766,0.746838303,0.052648154,0.166778564,0.023436157,9
51,0.251973808,0.748026192,1720,440113,番禺区,广东省,0.001256763,0.024369075,0.412276907,0.126222474,0.666664254,0.080296132,9
52,0.155415356,0.844584644,1724,440118,增城区,广东省,0.018951287,0.004070472,0.827853921,0.022639753,0.187969993,0.011380221,9
53,0.14279896,0.85720104,1788,441302,惠城区,广东省,0.012375959,0.005284169,0.757506634,0.03155269,0.269841439,0.013562815,9
54,0.052916527,0.947083473,1971,469028,陵水黎族自治县,海南省,0.037571087,0.00095267,0.894548447,0.008964786,0.193091431,0.009532235,9
55,0.157250643,0.842749357,1992,500119,南川区,重庆市,0.182002236,0.000754815,0.93761548,0.006871232,0.142857143,0.001883639,9
56,0.038008094,0.961991906,2024,510129,大邑县,四川省,0.258738065,0.001230741,0.893353956,0.011517056,0.142857143,0.006662142,9
57,0.2562567,0.7437433,439,210213,金州区,辽宁省,0.010128427,0.008624318,0.642527082,0.033186178,0.168011431,0.008300286,8
58,0.088804185,0.911195815,716,310120,奉贤区,上海市,0.000947983,0.011141864,0.671515352,0.053549478,0.190507856,0.023787402,8
59,0.258028269,0.741971731,750,320413,金坛区,江苏省,0.002445042,0.005047449,0.692345765,0.01707436,0.218045,0.008982437,8
60,0.097282588,0.902717412,862,330603,柯桥区,浙江省,0.025942519,0.008388453,0.776473234,0.029559106,0.142878571,0.012520575,8
61,0.162952185,0.837047815,1498,420114,蔡甸区,湖北省,0.005483211,0.002392025,0.687467547,0.020971579,0.191637857,0.011541818,8
62,0.018080711,0.981919289,1594,430104,岳麓区,湖南省,0.016701683,0.012748667,0.77273575,0.049588932,0.218045,0.024791371,8
63,0.088111043,0.911888957,1598,430121,长沙县,湖南省,0.016688655,0.006013667,0.828571659,0.020040031,0.142857143,0.00691988,8
